YEARMODA,MAX,MIN,TEMP1,TEMP2,DIFF,TEMP_F,TEMP_KELVIN
20240815,23.9,14.3,20.7,23.9,9.6,69.3,293.8
20240816,21.2,18.3,19.5,20.9,2.9,67.1,292.6
20240817,22.6,16.9,20.0,21.4,5.7,68.0,293.1
20240818,21.2,12.5,18.5,21.2,8.7,65.3,291.6
20240819,22.3,15.1,18.8,22.3,7.2,65.8,291.9
20240820,21.0,10.4,17.2,20.9,10.6,63.0,290.3
20240821,22.3,16.0,20.8,20.6,6.3,69.4,293.9
20240822,22.1,,19.7,20.8,,67.5,292.8
20240823,20.3,13.0,18.7,18.2,7.3,65.7,291.8
20240824,19.1,15.4,17.8,18.6,3.7,64.0,290.9
20240825,25.9,14.4,19.0,25.9,11.5,66.2,292.1
20240826,20.0,14.5,17.3,19.7,5.5,63.1,290.4
20240827,20.5,15.3,17.9,20.4,5.2,64.2,291.0
20240828,21.6,14.2,18.7,21.3,7.4,65.7,291.8
20240829,21.9,,16.6,21.8,,61.9,289.8
20240830,24.6,16.0,20.7,23.5,8.6,69.3,293.8
